mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
5.5,7.375,2.4781014919281006,5.0,4.451111,2.7211018,4.4449205,0.24300784,13.173923,1.9716809
7.375,5.5,2.4781014919281006,5.0,4.4449205,0.24300784,4.451111,2.7211018,9.595653,1.6650555
5.5,7.375,2.321204423904419,5.100000381469727,4.3867445,2.556423,4.4976025,0.23786746,13.216788,1.9952242
7.375,5.5,2.321204423904419,5.100000381469727,4.4976025,0.23786746,4.3867445,2.556423,9.616546,1.6340446
5.5,7.375,2.1590957641601562,5.199999809265137,4.322705,2.3849144,4.5500407,0.23782048,13.281179,2.0233545
7.375,5.5,2.1590957641601562,5.199999809265137,4.5500407,0.23782048,4.322705,2.3849144,9.646186,1.5996368
5.5,7.375,1.9915622472763062,5.299999713897705,4.2594967,2.205548,4.6018586,0.24363355,13.358623,2.0525043
7.375,5.5,1.9915622472763062,5.299999713897705,4.6018586,0.24363355,4.2594967,2.205548,9.674198,1.5666007
5.5,7.375,1.8185051679611206,5.399999618530273,4.197885,2.0170348,4.6524863,0.2562682,13.448506,2.0811956
7.375,5.5,1.8185051679611206,5.399999618530273,4.6524863,0.2562682,4.197885,2.0170348,9.699933,1.5356597
5.5,7.375,1.6400864124298096,5.5,4.1390567,1.817741,4.7010384,0.27694246,13.58241,2.1181555
7.375,5.5,1.6400864124298096,5.5,4.7010384,0.27694246,4.1390567,1.817741,9.71591,1.5085524
5.5,7.375,1.457040786743164,5.599999904632568,4.084917,1.6055923,4.7460938,0.30720347,13.743738,2.1633549
7.375,5.5,1.457040786743164,5.599999904632568,4.7460938,0.30720347,4.084917,1.6055923,9.725146,1.4865619
5.5,7.375,1.271362066268921,5.699999809265137,4.038641,1.3780017,4.7852845,0.34898046,13.933312,2.204777
7.375,5.5,1.271362066268921,5.699999809265137,4.7852845,0.34898046,4.038641,1.3780017,9.725544,1.472483
5.5,7.375,1.0878552198410034,5.799999713897705,4.005721,1.1320031,4.8145146,0.40448546,14.147688,2.244089
7.375,5.5,1.0878552198410034,5.799999713897705,4.8145146,0.40448546,4.005721,1.1320031,9.713011,1.4711273
5.5,7.375,0.9175775647163391,5.900000095367432,3.9958704,0.8652538,4.826541,0.4754655,14.416651,2.2841268
7.375,5.5,0.9175775647163391,5.900000095367432,4.826541,0.4754655,3.9958704,0.8652538,9.681906,1.486027
5.5,7.375,0.7839879393577576,6.0,4.0254345,0.5800092,4.809173,0.56023866,14.68209,2.2975335
7.375,5.5,0.7839879393577576,6.0,4.809173,0.56023866,4.0254345,0.5800092,9.734175,1.5472475
5.5,7.375,0.7246642112731934,6.099999904632568,4.1144905,0.29326394,4.7474384,0.646131,14.788767,2.2293158
7.375,5.5,0.7246642112731934,6.099999904632568,4.7474384,0.646131,4.1144905,0.29326394,9.94067,1.6873918
5.5,7.375,0.7651822566986084,6.199999809265137,4.2643003,0.040388823,4.6403956,0.7067642,14.464422,2.107039
7.375,5.5,0.7651822566986084,6.199999809265137,4.6403956,0.7067642,4.2643003,0.040388823,10.168205,1.8649174
5.5,7.375,0.8873764276504517,6.300000190734863,4.444803,-0.15810327,4.510463,0.7268406,13.777465,1.8916548
7.375,5.5,0.8873764276504517,6.300000190734863,4.510463,0.7268406,4.444803,-0.15810327,10.664993,2.066465
5.5,7.375,1.0528042316436768,6.400000095367432,4.6287494,-0.31018925,4.377963,0.71230906,13.105551,1.6625059
7.375,5.5,1.0528042316436768,6.400000095367432,4.377963,0.71230906,4.6287494,-0.31018925,11.17364,2.232398
5.5,7.375,1.2348724603652954,6.5,4.804806,-0.4301092,4.251346,0.6737893,12.626713,1.4534061
7.375,5.5,1.2348724603652954,6.5,4.251346,0.6737893,4.804806,-0.4301092,11.5842085,2.3650424
5.5,7.375,1.420636534690857,6.599999904632568,4.9700603,-0.52848285,4.1327853,0.6192011,12.335288,1.3264652
7.375,5.5,1.420636534690857,6.599999904632568,4.1327853,0.6192011,4.9700603,-0.52848285,11.979905,2.4840734
5.5,7.375,1.6044172048568726,6.700000286102295,5.1245728,-0.6121323,4.0222354,0.5536322,12.134357,1.2361103
7.375,5.5,1.6044172048568726,6.700000286102295,4.0222354,0.5536322,5.1245728,-0.6121323,12.329773,2.5907938
5.5,7.375,1.7838314771652222,6.800000190734863,5.269262,-0.6853934,3.9190114,0.48031598,12.011907,1.15708
7.375,5.5,1.7838314771652222,6.800000190734863,3.9190114,0.48031598,5.269262,-0.6853934,12.669357,2.6881504
5.5,7.375,1.957968831062317,6.900000095367432,5.405193,-0.7510935,3.8223188,0.40136105,11.939471,1.0718898
7.375,5.5,1.957968831062317,6.900000095367432,3.8223188,0.40136105,5.405193,-0.7510935,12.96907,2.7784457
5.5,7.375,2.126587152481079,7.0,5.533358,-0.8111394,3.7314177,0.3181894,11.891034,0.9916434
7.375,5.5,2.126587152481079,7.0,3.7314177,0.3181894,5.533358,-0.8111394,13.239078,2.862904
5.5,7.375,2.2897489070892334,7.100000381469727,5.654622,-0.8668599,3.6456635,0.23179209,11.860763,0.9160805
7.375,5.5,2.2897489070892334,7.100000381469727,3.6456635,0.23179209,5.654622,-0.8668599,13.486259,2.9423847
5.5,7.375,2.447652816772461,7.199999809265137,5.769721,-0.919209,3.5645068,0.14288047,11.8444605,0.84463066
7.375,5.5,2.447652816772461,7.199999809265137,3.5645068,0.14288047,5.769721,-0.919209,13.715395,3.017522
5.5,7.375,2.600550651550293,7.299999713897705,5.879279,-0.9688895,3.4874823,0.051978715,11.839149,0.7768327
7.375,5.5,2.600550651550293,7.299999713897705,3.4874823,0.051978715,5.879279,-0.9688895,13.915844,3.1242757
5.5,7.375,2.748710870742798,7.399999618530273,5.983826,-1.0164311,3.4141948,-0.040518127,11.842655,0.7123071
7.375,5.5,2.748710870742798,7.399999618530273,3.4141948,-0.040518127,5.983826,-1.0164311,14.106751,3.231869
5.5,7.375,2.8923959732055664,7.5,6.0838137,-1.0622411,3.344308,-0.1343064,11.855831,0.652527
7.375,5.5,2.8923959732055664,7.5,3.344308,-0.1343064,6.0838137,-1.0622411,14.288956,3.3340023
5.5,7.375,3.031856060028076,7.599999904632568,6.179629,-1.1066377,3.2775323,-0.22914861,11.916924,0.62609583
7.375,5.5,3.031856060028076,7.599999904632568,3.2775323,-0.22914861,6.179629,-1.1066377,14.463227,3.4307432
5.5,7.375,3.167323589324951,7.699999809265137,6.271606,-1.149874,3.213619,-0.32485622,11.980901,0.6005439
7.375,5.5,3.167323589324951,7.699999809265137,3.213619,-0.32485622,6.271606,-1.149874,14.630808,3.52272
5.5,7.375,3.29901385307312,7.799999713897705,6.360036,-1.1921532,3.152351,-0.4212775,12.047182,0.57579875
7.375,5.5,3.29901385307312,7.799999713897705,3.152351,-0.4212775,6.360036,-1.1921532,14.794249,3.613823
5.5,7.375,3.4271249771118164,7.900000095367432,6.4451733,-1.2336411,3.0935385,-0.5182889,12.115313,0.5517932
7.375,5.5,3.4271249771118164,7.900000095367432,3.0935385,-0.5182889,6.4451733,-1.2336411,14.954695,3.6904979
5.5,7.375,3.5518369674682617,8.0,6.527241,-1.274474,3.037015,-0.6157889,12.186002,0.5284705
7.375,5.5,3.5518369674682617,8.0,3.037015,-0.6157889,6.527241,-1.274474,15.112054,3.7559288
5.5,7.375,3.673316478729248,8.100000381469727,6.606438,-1.3147651,2.9826326,-0.7136929,12.272997,0.5057423
7.375,5.5,3.673316478729248,8.100000381469727,2.9826326,-0.7136929,6.606438,-1.3147651,15.272385,3.8208754
5.5,7.375,3.791715621948242,8.199999809265137,6.68294,-1.3546091,2.93026,-0.8119303,12.363476,0.48578787
7.375,5.5,3.791715621948242,8.199999809265137,2.93026,-0.8119303,6.68294,-1.3546091,15.437507,3.8861203
5.5,7.375,3.9071741104125977,8.300000190734863,6.7569046,-1.3940862,2.8797798,-0.91044134,12.456115,0.46776223
7.375,5.5,3.9071741104125977,8.300000190734863,2.8797798,-0.91044134,6.7569046,-1.3940862,15.599275,3.94842
5.5,7.375,4.019819736480713,8.399999618530273,6.828473,-1.4332644,2.8310866,-1.0091753,12.548727,0.45022696
7.375,5.5,4.019819736480713,8.399999618530273,2.8310866,-1.0091753,6.828473,-1.4332644,15.757933,4.007925
5.5,7.375,4.129770278930664,8.5,6.897773,-1.4722018,2.7840853,-1.1080887,12.643023,0.43248785
7.375,5.5,4.129770278930664,8.5,2.7840853,-1.1080887,6.897773,-1.4722018,15.913703,4.0647717
5.5,7.375,4.23713493347168,8.59999942779541,6.9649196,-1.5109488,2.7386897,-1.2071443,12.739858,0.41418248
7.375,5.5,4.23713493347168,8.59999942779541,2.7386897,-1.2071443,6.9649196,-1.5109488,16.066786,4.1158247
5.5,7.375,4.342015266418457,8.699999809265137,7.0300183,-1.5495485,2.6948214,-1.3063097,12.836607,0.3974992
7.375,5.5,4.342015266418457,8.699999809265137,2.6948214,-1.3063097,7.0300183,-1.5495485,16.217335,4.1645203
5.5,7.375,4.444503307342529,8.800000190734863,7.0931644,-1.5880387,2.652409,-1.4055568,12.933712,0.37910587
7.375,5.5,4.444503307342529,8.800000190734863,2.652409,-1.4055568,7.0931644,-1.5880387,16.365503,4.210972
5.5,7.375,4.544685363769531,8.90000057220459,7.154446,-1.6264522,2.6113873,-1.504861,13.030251,0.3698073
7.375,5.5,4.544685363769531,8.90000057220459,2.6113873,-1.504861,7.154446,-1.6264522,16.511429,4.2552743
5.5,7.375,4.642642974853516,9.0,7.2139435,-1.6648179,2.5716963,-1.6042008,13.126385,0.3621046
7.375,5.5,4.642642974853516,9.0,2.5716963,-1.6042008,7.2139435,-1.6648179,16.655228,4.29752
5.5,7.375,4.738450050354004,9.100000381469727,7.2717304,-1.7031614,2.5332806,-1.7035574,13.221658,0.35465527
7.375,5.5,4.738450050354004,9.100000381469727,2.5332806,-1.7035574,7.2717304,-1.7031614,16.797,4.337793
5.5,7.375,4.832176208496094,9.199999809265137,7.3278756,-1.7415049,2.4960895,-1.8029138,13.313913,0.34590596
7.375,5.5,4.832176208496094,9.199999809265137,2.4960895,-1.8029138,7.3278756,-1.7415049,16.936863,4.3761706
5.5,7.375,4.923887252807617,9.300000190734863,7.382442,-1.7798686,2.4600756,-1.9022552,13.406205,0.3378209
7.375,5.5,4.923887252807617,9.300000190734863,2.4600756,-1.9022552,7.382442,-1.7798686,17.077236,4.4124026
