,edge,message_x,message_y,dx,dy,r,mass_j,time
151,"(2, 0)",0.13857658,0.18775058,-5.90069055557251,4.0434112548828125,7.153133869171143,1.75,0.02500000037252903
152,"(0, 1)",-0.34447247,0.29955345,1.7654728889465332,-3.4042112827301025,3.8347814083099365,3.75,0.02500000037252903
153,"(2, 1)",0.1337723,0.24276868,-4.135217666625977,0.6391997337341309,4.184328079223633,3.75,0.02500000037252903
154,"(0, 2)",-0.59584576,0.4202571,5.90069055557251,-4.0434112548828125,7.153133869171143,4.5,0.02500000037252903
155,"(1, 2)",-0.31975073,0.22827277,4.135217666625977,-0.6391997337341309,4.184328079223633,4.5,0.02500000037252903
156,"(1, 0)",0.051904127,0.048325174,-1.766150951385498,3.4034533500671387,3.834420919418335,1.75,0.026000000536441803
157,"(2, 0)",0.13857514,0.18775529,-5.900766849517822,4.042852878570557,7.152881145477295,1.75,0.026000000536441803
158,"(0, 1)",-0.34445223,0.2995141,1.766150951385498,-3.4034533500671387,3.834420919418335,3.75,0.026000000536441803
159,"(2, 1)",0.1337589,0.24273598,-4.134615898132324,0.639399528503418,4.1837639808654785,3.75,0.026000000536441803
160,"(0, 2)",-0.5958163,0.4202332,5.900766849517822,-4.042852878570557,7.152881145477295,4.5,0.026000000536441803
161,"(1, 2)",-0.3197299,0.22826672,4.134615898132324,-0.639399528503418,4.1837639808654785,4.5,0.026000000536441803
162,"(1, 0)",0.051918954,0.04835029,-1.766829490661621,3.4026951789855957,3.8340606689453125,1.75,0.027000000700354576
163,"(2, 0)",0.13857363,0.18775994,-5.900843143463135,4.042294502258301,7.152628421783447,1.75,0.027000000700354576
164,"(0, 1)",-0.34443203,0.29947478,1.766829490661621,-3.4026951789855957,3.8340606689453125,3.75,0.027000000700354576
165,"(2, 1)",0.13374552,0.24270332,-4.134013652801514,0.6395993232727051,4.183199405670166,3.75,0.027000000700354576
166,"(0, 2)",-0.5957867,0.42020932,5.900843143463135,-4.042294502258301,7.152628421783447,4.5,0.027000000700354576
167,"(1, 2)",-0.31970903,0.22826076,4.134013652801514,-0.6395993232727051,4.183199405670166,4.5,0.027000000700354576
168,"(1, 0)",0.051933795,0.048375413,-1.767507553100586,3.4019367694854736,3.833699941635132,1.75,0.02800000086426735
169,"(2, 0)",0.13857211,0.18776459,-5.900918483734131,4.041735649108887,7.152374744415283,1.75,0.02800000086426735
170,"(0, 1)",-0.34441164,0.29943532,1.767507553100586,-3.4019367694854736,3.833699941635132,3.75,0.02800000086426735
171,"(2, 1)",0.13373214,0.24267057,-4.133410930633545,0.6397991180419922,4.182634353637695,3.75,0.02800000086426735
172,"(0, 2)",-0.5957571,0.42018548,5.900918483734131,-4.041735649108887,7.152374744415283,4.5,0.02800000086426735
